Total entries fetched: 271

========================================
Account: CASH_e359c84e-b42b-4b0a-b422-a2074d87d83a (25 entries)
========================================
[0] ID: 9a5f7ca2-2d91-436a-8956-b45637ad30e9 | Date: 2026-02-26 | CreatedAt: 2026-02-27T08:42:02.109042+00:00 | Type: ADJUSTMENT | Deb: 2510.5 | Cred: 0 | BalAfter: 2510.5 | Desc: Closing Adjustment (Surplus): 
[1] ID: 016d4eaa-9e32-4286-b51b-4806d24fc2c1 | Date: 2026-02-26 | CreatedAt: 2026-02-27T08:42:02.899378+00:00 | Type: CLOSING_BALANCE | Deb: 0 | Cred: 0 | BalAfter: 2510.5 | Desc: Closing Balance as at 2026-02-26
[2] ID: 6c1f6987-f765-4369-a0c0-db6f62254b76 | Date: 2026-02-27 | CreatedAt: 2026-02-27T08:42:03.694268+00:00 | Type: OPENING_BALANCE | Deb: 0 | Cred: 0 | BalAfter: 2510.5 | Desc: Opening Balance
[3] ID: 343fa694-18ef-4471-b386-784efdd0da5e | Date: 2026-02-27 | CreatedAt: 2026-02-27T08:44:35.008733+00:00 | Type: ADJUSTMENT | Deb: 35000 | Cred: 0 | BalAfter: 37510.5 | Desc: Closing Adjustment (Surplus): 
[4] ID: f3ab9a04-1690-4008-ac74-3e84d752e478 | Date: 2026-02-27 | CreatedAt: 2026-02-27T08:44:35.792122+00:00 | Type: CLOSING_BALANCE | Deb: 0 | Cred: 0 | BalAfter: 37510.5 | Desc: Closing Balance as at 2026-02-27
[5] ID: e95df4c4-0ca8-42e6-86fc-2897c529f319 | Date: 2026-02-27 | CreatedAt: 2026-02-27T08:46:23.005057+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 4000 | BalAfter: 33510.5 | Desc: Voucher PV-a2d7d2 (Exp: K0.00, Disc: K4000.00)
[6] ID: 036ae9a5-c287-433d-9293-030559f6c9dd | Date: 2026-02-28 | CreatedAt: 2026-02-27T08:44:36.498087+00:00 | Type: OPENING_BALANCE | Deb: 0 | Cred: 0 | BalAfter: 33510.5 | Desc: Opening Balance
[7] ID: 5f4b8aef-9449-4b8f-a924-971ae8b74549 | Date: 2026-02-28 | CreatedAt: 2026-02-28T13:20:44.092928+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 1635 | BalAfter: 31875.5 | Desc: Voucher PV-9ebe8e (Actual for Req #9ebe8ea2)
[8] ID: 552ac894-c49a-4863-871f-f2815da16ddc | Date: 2026-03-03 | CreatedAt: 2026-03-03T08:20:52.533246+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 1400 | BalAfter: 30475.5 | Desc: Cash disbursed for Requisition #1d42790c
[9] ID: 664c08d7-f5a2-49bf-96bd-0eaf99c58aa1 | Date: 2026-03-03 | CreatedAt: 2026-03-03T08:22:20.084231+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 540 | BalAfter: 29935.5 | Desc: Voucher PV-b745bb (Exp: K0.00, Disc: K540.00)
[10] ID: 7d8a3e89-4e82-41b2-90a5-d4496b29fa32 | Date: 2026-03-03 | CreatedAt: 2026-03-03T12:20:56.665703+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 800 | BalAfter: 29135.5 | Desc: Voucher PV-d6c719 (Actual for Req #d6c719e8)
