Total cashbook entries: 388

[0] ID: 01aeab4b-d903-465a-923f-d76e54899c62 | Date: 2026-03-18 | EntryType: ADJUSTMENT | D: 0 | C: 0 | BalAfter: 0.7 | ExtRef: null | ReqId: null | Status: ACCOUNTED | Desc: OPENING BALANCE (Reconciliation as of 2026-03-18)
[1] ID: c978d4ab-2122-4bc5-850f-5a0b2a034167 | Date: 2026-03-18 | EntryType: INFLOW | D: 9900 | C: 0 | BalAfter: 9900.7 | ExtRef: null | ReqId: null | Status: COMPLETED | Desc: Money deposited for Twalumbu into the wrong account / 2607707563
[2] ID: 621dfd66-9829-42fd-9a0f-282f0e3c230a | Date: 2026-03-18 | EntryType: DISBURSEMENT | D: 0 | C: 99 | BalAfter: 9801.7 | ExtRef: null | ReqId: null | Status: DISBURSED | Desc: To Blue Opus Software Technology / Split-Inflow Payment - 2607707564
[3] ID: 69c8fd3a-5f20-40e3-a5f3-405edc3ce912 | Date: 2026-03-19 | EntryType: DISBURSEMENT | D: 0 | C: 932 | BalAfter: 8869.7 | ExtRef: null | ReqId: 73cb9d5c-edbc-46e2-b31d-eb046425e28c | Status: DISBURSED | Desc: Disbursement for Requisition #73cb9d5c / 2607802035
[4] ID: 45994569-cdde-4887-9388-1fe179d0f109 | Date: 2026-03-19 | EntryType: DISBURSEMENT | D: 0 | C: 1615 | BalAfter: 7254.7 | ExtRef: null | ReqId: 84375f29-a555-44a1-ac5b-18a24d716cf8 | Status: DISBURSED | Desc: Disbursement for Requisition #84375f29 / 2607803351
[5] ID: 0ae34f3f-143c-46db-9d72-de3b65a29cd8 | Date: 2026-03-19 | EntryType: DISBURSEMENT | D: 0 | C: 832 | BalAfter: 6422.7 | ExtRef: null | ReqId: 1e3ee504-1313-45f8-8b60-5a85e5e8ab68 | Status: DISBURSED | Desc: Disbursement for Requisition #1e3ee504 / 2607803410
[6] ID: 7c954e82-126b-4ea3-86d3-5d25adb56b72 | Date: 2026-03-19 | EntryType: DISBURSEMENT | D: 0 | C: 1535 | BalAfter: 4887.7 | ExtRef: null | ReqId: 8880575f-9d20-45a2-9a48-72295c180941 | Status: DISBURSED | Desc: Disbursement for Requisition #8880575f / 2607804347
[7] ID: 618f74d2-8d55-4aa4-9a98-82a4fbde9af1 | Date: 2026-03-19 | EntryType: DISBURSEMENT | D: 0 | C: 836 | BalAfter: 4051.7 | ExtRef: null | ReqId: 4aad4b68-d497-4947-97ec-17adc038bed5 | Status: DISBURSED | Desc: Disbursement for Requisition #4aad4b68 / 2607804355
[8] ID: dc3bf5bb-13bb-4220-acec-72713250e10a | Date: 2026-03-19 | EntryType: DISBURSEMENT | D: 0 | C: 562 | BalAfter: 3489.7 | ExtRef: null | ReqId: b77d3bb7-f37b-4596-a189-3bb3805cdf02 | Status: DISBURSED | Desc: Disbursement for Requisition #b77d3bb7 / 2607805715
[9] ID: 7b5cd24c-93f4-4647-9b6f-0ad936af6250 | Date: 2026-03-20 | EntryType: DISBURSEMENT | D: 0 | C: 190 | BalAfter: 3299.7 | ExtRef: null | ReqId: 774d4025-d015-4391-bebc-0a009eb8fa33 | Status: DISBURSED | Desc: Disbursement for Requisition #774d4025 / 2607905206
[10] ID: bac425a0-9400-436d-a377-791a98be33d5 | Date: 2026-03-20 | EntryType: INFLOW | D: 101 | C: 0 | BalAfter: 3400.7 | ExtRef: null | ReqId: null | Status: COMPLETED | Desc: Refunding missing funds / 2607906058
